ids,linkselect,imSource,linkselect-href,AuthorName,rating,reviews,genre,pages,IND,US,AUS,ZFA,UAE,UK,CAN,FRA,ratRank,revRank,popScore,critScore,isSeries,seriesid,sg1,sg2,sg3,sg4
9,1984(Paperback),1.jpg,https://www.goodreads.com/book/show/5470.1984,"George Orwell, Erich Fromm (Afterword)",4.1,1490281,Classics,326,58,235,380,223,25,373,143,71,174,9,0.981,0.985,,,496,55,29,293
524,20000LeaguesUnderTheSea(FastTrackClassics),2.jpg,https://www.goodreads.com/book/show/32830.20_000_Leagues_Under_The_Sea,"Pauline Francis, Jules Verne (Creator)",3.75,692,Classics,48,221,210,26,165,152,366,71,180,455,524,0.06,0.065,,,240,491,524,373
198,ABriefHistoryofTime(Paperback),3.jpg,https://www.goodreads.com/book/show/3869.A_Brief_History_of_Time,Stephen Hawking,4.08,124976,Science,212,575,124,491,48,147,495,131,289,188,198,0.693,0.665,,,456,456,355,422
452,ABrightShiningLie:JohnPaulVannandAmericainVietnam(Paperback),4.jpg,https://www.goodreads.com/book/show/417640.A_Bright_Shining_Lie,Neil Sheehan,4.18,6919,History,896,487,733,569,216,40,119,146,190,126,452,0.195,0.188,,,499,229,234,43
122,"AChildCalled""""It""""(DavePelzer#1)",5.jpg,https://www.goodreads.com/book/show/60748.A_Child_Called_It_,Dave Pelzer (Goodreads Author),4.07,274877,NonFiction,184,343,554,93,217,168,341,146,241,196,122,0.796,0.787,,,456,160,280,473
112,AChristmasCarol(Paperback),6.jpg,https://www.goodreads.com/book/show/5326.A_Christmas_Carol,Charles Dickens,3.99,314231,Classics,104,558,630,154,44,44,390,55,30,260,112,0.812,0.801,,,456,448,386,507
513,AcidDreams:TheCIALSDandtheSixtiesRebellion(Paperback),7.jpg,https://www.goodreads.com/book/show/260352.Acid_Dreams,"Martin A. Lee, Bruce Shlain",4.11,1674,NonFiction,343,534,747,204,136,168,189,23,92,161,513,0.079,0.09,,,79,127,492,393
98,AClockworkOrange(Paperback),8.jpg,https://www.goodreads.com/book/show/227463.A_Clockwork_Orange,Anthony Burgess,3.96,355086,Classics,192,124,148,175,206,134,155,59,279,293,98,0.831,0.827,,,306,280,316,478
179,AConfederacyofDunces(Paperback),9.jpg,https://www.goodreads.com/book/show/310612.A_Confederacy_of_Dunces,"John Kennedy Toole, Walker Percy (Foreword)",3.88,144847,Fiction,394,212,131,192,77,99,403,86,184,355,179,0.717,0.69,,,273,273,331,551
269,AConnecticutYankeeinKingArthur'sCourt(Paperback),10.jpg,https://www.goodreads.com/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court,Mark Twain,3.72,58480,Fantasy,480,518,285,255,173,161,371,50,355,477,269,0.529,0.545,,,342,246,416,407
